Market,Commodity,Classification,Grade,Sex,Wholesale,Retail,Supply Volume,County,Date
Kutus,Egg plant (Brinjals),-,-,-,30.00/Kg,50.00/Kg,480.0,Kirinyaga,2026-04-30
Kutus,French beans,-,-,-,60.00/Kg,80.00/Kg,150.0,Kirinyaga,2026-04-30
Kutus,Fresh Peas,On pods,-,-,130.00/Kg,150.00/Kg,1000.0,Kirinyaga,2026-04-30
Kutus,Ginger,-,-,-,150.00/Kg,220.00/Kg,,Kirinyaga,2026-04-30
Kutus,Garlic,-,-,-,300.00/Kg,400.00/Kg,,Kirinyaga,2026-04-30
Kutus,Garlic,-,-,-,150.00/Kg,220.00/Kg,200.0,Kirinyaga,2026-04-30
Kutus,Green Maize,-,-,-,40.00/Kg,50.00/Kg,1500.0,Kirinyaga,2026-04-30
Kutus,Kales/Sukuma Wiki,-,-,-,10.00/Kg,20.00/Kg,1200.0,Kirinyaga,2026-04-30
Kutus,Okra (Lady's fingers or Gumbo),-,-,-,-,150.00/Kg,20.0,Kirinyaga,2026-04-30
Kutus,Pumpkin,-,-,-,30.00/Kg,50.00/Kg,800.0,Kirinyaga,2026-04-30
Kutus,Spinach,-,-,-,30.00/Kg,50.00/Kg,550.0,Kirinyaga,2026-04-30
Kutus,Spring Onions,-,-,-,90.00/Kg,120.00/Kg,500.0,Kirinyaga,2026-04-30
Kutus,Tomatoes,-,-,-,71.43/Kg,85.71/Kg,3500.0,Kirinyaga,2026-04-30
Kipkaren,Water Melon,-,-,-,200.00/Kg,300.00/Kg,200.0,Kakamega,2026-04-30
Kipkaren,Mangoes,Local,-,-,35.00/Kg,60.00/Kg,100.0,Kakamega,2026-04-30
Kipkaren,Avocado,Local,-,-,30.00/Kg,50.00/Kg,500.0,Kakamega,2026-04-30
Kipkaren,Red Sorghum,-,-,-,130.00/Kg,150.00/Kg,500.0,Kakamega,2026-04-30
Kipkaren,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,10000.0,Kakamega,2026-04-30
Kipkaren,Pumpkin Leaves,-,-,-,100.00/Kg,150.00/Kg,100.0,Kakamega,2026-04-30
Kipkaren,Jute Plant (Murenda),-,-,-,75.00/Kg,100.00/Kg,108.0,Kakamega,2026-04-30
Kipkaren,Cowpea leaves (Kunde),-,-,-,75.00/Kg,100.00/Kg,100.0,Kakamega,2026-04-30
Kipkaren,Amaranthus (Terere),-,-,-,120.00/Kg,150.00/Kg,100.0,Kakamega,2026-04-30
Kipkaren,Green Grams,Local-Special,-,-,100.00/Kg,130.00/Kg,3000.0,Kakamega,2026-04-30
Kipkaren,Beans Rosecoco,-,-,-,80.00/Kg,100.00/Kg,10000.0,Kakamega,2026-04-30
Kipkaren,Beans (Canadian wonder),-,-,-,75.00/Kg,100.00/Kg,5000.0,Kakamega,2026-04-30
Kipkaren,Fertilizer,CAN,-,-,50.00/Kg,70.00/Kg,10000.0,Kakamega,2026-04-30
Makutano Embu,Beans (Mwitemania),-,-,-,90.00/Kg,125.00/Kg,,Embu,2026-04-29
Makutano Embu,Beans (Yellow-Green),-,-,-,120.00/Kg,175.00/Kg,,Embu,2026-04-29
Makutano Embu,Beans Red Haricot (Wairimu),-,-,-,100.00/Kg,140.00/Kg,,Embu,2026-04-29
Makutano Embu,Beans Rosecoco (Nyayo),-,-,-,110.00/Kg,150.00/Kg,,Embu,2026-04-29
Makutano Embu,Cowpeas,-,-,-,100.00/Kg,140.00/Kg,,Embu,2026-04-29
Makutano Embu,Dolichos lablab (Njahi),-,-,-,85.00/Kg,100.00/Kg,,Embu,2026-04-29
Makutano Embu,Green Grams,Hybrid/ polished,-,-,100.00/Kg,150.00/Kg,,Embu,2026-04-29
Makutano Embu,Lentils,-,-,-,190.00/Kg,225.00/Kg,,Embu,2026-04-29
