Market,Commodity,Classification,Grade,Sex,Wholesale,Retail,Supply Volume,County,Date
Nkubu,Dry Onions,-,-,-,90.00/Kg,120.00/Kg,1440.0,Meru,2026-05-05
Nkubu,Carrots,-,-,-,28.57/Kg,50.00/Kg,1750.0,Meru,2026-05-05
Nkubu,Cabbages,-,-,-,4.00/Kg,30.00/Kg,8000.0,Meru,2026-05-05
Nkubu,Pigeon peas,-,-,-,88.89/Kg,120.00/Kg,630.0,Meru,2026-05-05
Nkubu,Lentils,-,-,-,200.00/Kg,250.00/Kg,750.0,Meru,2026-05-05
Nkubu,Green Grams,Hybrid/ polished,-,-,144.44/Kg,150.00/Kg,900.0,Meru,2026-05-05
Nkubu,Dry Peas,-,-,-,144.44/Kg,170.00/Kg,720.0,Meru,2026-05-05
Nkubu,Dolichos lablab (Njahi),-,-,-,144.44/Kg,150.00/Kg,900.0,Meru,2026-05-05
Nkubu,Cowpeas,-,-,-,100.00/Kg,120.00/Kg,630.0,Meru,2026-05-05
Nkubu,Beans Rosecoco,-,-,-,111.11/Kg,130.00/Kg,720.0,Meru,2026-05-05
Nkubu,Beans Red Haricot (Wairimu),-,-,-,111.11/Kg,120.00/Kg,630.0,Meru,2026-05-05
Nkubu,Beans (Yellow-Green),-,-,-,133.33/Kg,150.00/Kg,630.0,Meru,2026-05-05
Nkubu,Beans (Mwitemania),-,-,-,111.11/Kg,120.00/Kg,720.0,Meru,2026-05-05
Nkubu,Beans (Mwezi Moja),-,-,-,111.11/Kg,120.00/Kg,630.0,Meru,2026-05-05
Voi Wholesale,Black nightshade (Managu/ Osuga),-,-,-,60.00/Kg,-,750.0,Taita-Taveta,2026-05-05
Voi Wholesale,Amaranthus (Terere),-,-,-,60.00/Kg,-,600.0,Taita-Taveta,2026-05-05
Voi Wholesale,Oranges,-,-,-,80.00/Kg,-,400.0,Taita-Taveta,2026-05-05
Voi Wholesale,Avocado,Local,-,-,30.00/Kg,-,1500.0,Taita-Taveta,2026-05-05
Voi Wholesale,Tomatoes,-,-,-,73.33/Kg,-,2250.0,Taita-Taveta,2026-05-05
Voi Wholesale,Tomatoes,-,-,-,73.33/Kg,-,4500.0,Taita-Taveta,2026-05-05
Voi Wholesale,Spinach,-,-,-,60.00/Kg,-,800.0,Taita-Taveta,2026-05-05
Voi Wholesale,Kales/Sukuma Wiki,-,-,-,30.00/Kg,-,1200.0,Taita-Taveta,2026-05-05
Voi Wholesale,Green Maize,-,-,-,60.00/Kg,-,200.0,Taita-Taveta,2026-05-05
Voi Wholesale,Fresh Peas,Shelled Peas,-,-,90.00/Kg,-,50.0,Taita-Taveta,2026-05-05
Voi Wholesale,Fresh Peas,On pods,-,-,50.00/Kg,-,1200.0,Taita-Taveta,2026-05-05
Voi Wholesale,Dry Onions,-,-,-,7.69/Kg,-,3000.0,Taita-Taveta,2026-05-05
Voi Wholesale,Carrots,-,-,-,50.00/Kg,-,700.0,Taita-Taveta,2026-05-05
Voi Wholesale,Cabbages,-,-,-,15.00/Kg,-,400.0,Taita-Taveta,2026-05-05
Voi Wholesale,Cabbages,-,-,-,12.50/Kg,-,6000.0,Taita-Taveta,2026-05-05
Voi Wholesale,Banana (Cooking),-,-,-,36.67/Kg,-,1800.0,Taita-Taveta,2026-05-05
Voi Wholesale,Banana (Cooking),-,-,-,32.50/Kg,-,2400.0,Taita-Taveta,2026-05-05
Voi Wholesale,White Irish Potatoes,-,-,-,52.17/Kg,-,8100.0,Taita-Taveta,2026-05-05
Voi Wholesale,Arrow Root,-,-,-,100.00/Kg,-,3500.0,Taita-Taveta,2026-05-05
Voi Wholesale,Cassava Fresh,-,-,-,50.00/Kg,-,500.0,Taita-Taveta,2026-05-05
Voi Wholesale,Sweet potatoes,-,-,-,52.63/Kg,-,2500.0,Taita-Taveta,2026-05-05
Voi Wholesale,Arrow Root,-,-,-,100.00/Kg,-,3500.0,Taita-Taveta,2026-05-05
Ngurubani Market,Pumpkin Leaves,-,-,-,20.00/Kg,30.00/Kg,250.0,Kirinyaga,2026-05-04
Ngurubani Market,Black nightshade (Managu/ Osuga),-,-,-,35.00/Kg,50.00/Kg,520.0,Kirinyaga,2026-05-04
Ngurubani Market,Cowpea leaves (Kunde),-,-,-,35.00/Kg,50.00/Kg,145.0,Kirinyaga,2026-05-04
Ngurubani Market,Amaranthus (Terere),-,-,-,30.00/Kg,40.00/Kg,320.0,Kirinyaga,2026-05-04
Ngurubani Market,Tomatoes,-,-,-,75.00/Kg,85.00/Kg,950.0,Kirinyaga,2026-05-04
Ngurubani Market,Spring Onions,-,-,-,40.00/Kg,60.00/Kg,180.0,Kirinyaga,2026-05-04
Ngurubani Market,Spinach,-,-,-,35.00/Kg,50.00/Kg,325.0,Kirinyaga,2026-05-04
Ngurubani Market,Pumpkin,-,-,-,30.00/Kg,40.00/Kg,2580.0,Kirinyaga,2026-05-04
Ngurubani Market,Green Maize,-,-,-,40.00/Kg,50.00/Kg,2350.0,Kirinyaga,2026-05-04
Ngurubani Market,Kales/Sukuma Wiki,-,-,-,30.00/Kg,45.00/Kg,1250.0,Kirinyaga,2026-05-04
Ngurubani Market,Fresh Peas,On pods,-,-,150.00/Kg,170.00/Kg,345.0,Kirinyaga,2026-05-04
Ngurubani Market,French beans,-,-,-,70.00/Kg,100.00/Kg,320.0,Kirinyaga,2026-05-04
Ngurubani Market,Egg plant (Brinjals),-,-,-,50.00/Kg,80.00/Kg,40.0,Kirinyaga,2026-05-04
Ngurubani Market,Cucumber,-,-,-,60.00/Kg,80.00/Kg,120.0,Kirinyaga,2026-05-04
Ngurubani Market,Dry Onions,-,-,-,90.00/Kg,130.00/Kg,4800.0,Kirinyaga,2026-05-04
Ngurubani Market,Courgette,-,-,-,80.00/Kg,120.00/Kg,135.0,Kirinyaga,2026-05-04
